Afiliados por Periodo, Regimenes, Sexo y Comunidades_autonomas;;;
;;;
Periodo;TODOS LOS REGÍMENES Total Sexo 10. Comunitat Valenciana;TODOS LOS REGÍMENES Total Sexo Total Nacional;TODOS LOS REGÍMENES Total Sexo 12. Castellón/Castelló
201201;1620209;16839803;209451
201202;1609542;16809794;205425
201203;1605832;16885759;202949
201204;1600365;16863390;201164
201205;1592619;16893799;198921
201206;1597694;16966420;200051
201207;1584991;16875350;200562
201208;1557297;16682422;197142
201209;1559832;16793649;196432
201210;1583074;16557981;203771
201211;1585417;16381817;207104
201212;1572384;16332488;205882
201301;1540449;16083780;197213
201302;1536773;16094638;194254
201303;1542903;16169814;194580
201304;1530414;16198707;191689
201305;1527363;16281979;190419
201306;1534169;16346688;192514
201307;1530647;16284726;194645
201308;1516955;16271446;192664
201309;1520096;16240307;190222
201310;1557458;16190225;198757
201311;1584419;16311593;205049
201312;1573969;16258042;204912
201401;1551611;16101625;198315
201402;1552938;16168480;194891
201403;1559158;16269721;195224
201404;1571217;16420853;195190
201405;1581144;16643364;195344
201406;1567088;16555787;195231
201407;1580076;16605097;199903
201408;1565552;16611116;198218
201409;1566338;16565854;195383
201410;1608381;16575092;203887
201411;1637096;16731189;209937
201412;1629591;16651884;210259
201501;1616362;16589693;205668
201502;1620046;16705373;202779
201503;1628290;16826434;203212
201504;1636012;16980815;202864
201505;1654870;17248257;203662
201506;1631172;17075015;202169
201507;1645931;17127907;206726
201508;1607649;16983302;201727
201509;1627618;17072551;201250
201510;1684108;17209036;212504
201511;1699032;17208793;216717
201512;1688847;17180590;216560
201601;1675435;17112224;212033
201602;1677622;17136666;210345
201603;1683903;17263972;209948
201604;1703332;17536670;209997
201605;1692988;17598891;206692
201606;1689260;17569069;207906
201607;1722667;17805680;214877
201608;1665772;17452444;208340
201609;1691087;17603313;209077
201610;1739725;17666175;220568
201611;1759055;17734106;223724
201612;1754056;17741897;224377
201701;1733147;17603834;218599
201702;1741462;17728907;216900
201703;1746364;17852833;214788
201704;1772198;18184000;218275
201705;1771518;18261899;216355
201706;1766092;18196843;218577
201707;1780566;18276939;223224
201708;1737740;18040192;216855
201709;1791037;18400140;222902
201710;1814453;18281362;230438
201711;1831657;18364819;232411
201712;1817825;18331107;230459
201801;1801610;18211901;225699
201802;1810736;18314467;224833
201803;1839211;18542644;228975
201804;1839041;18659703;227993
201805;1842455;18832943;225248
201806;1858325;18967952;228577
201807;1845044;18812915;230762
201808;1804431;18535422;223353
201809;1851545;18956018;227504
201810;1875404;18792718;235489
201811;1892001;18871968;239379
201812;1887682;18914563;238856
201901;1862637;18730629;232653
201902;1871268;18846671;230974
201903;1894835;19096989;233319
201904;1897225;19182653;232539
201905;1906094;19327792;231194
201906;1917934;19458689;233737
201907;1899988;19290343;234764
201908;1876247;19254763;231604
201909;1881454;19223638;228262
201910;1921694;19181445;237407
201911;1956084;19415313;242599
201912;1933989;19261636;240164
202001;1903511;19041595;235254
202002;1927862;19279415;235799
202003;1824783;18445436;224546
202004;1810620;18396362;221038
202005;1827374;18584176;220187
202006;1824795;18484270;221232
202007;1848522;18673847;227030
202008;1826616;18591306;223281
202009;1872770;18843729;229859
202010;1923157;18986284;241784
202011;1930635;18974452;243493
202012;1916824;18904852;243458
202101;1892394;18826631;238698
202102;1884456;18840921;235890
202103;1884812;18793353;234037
202104;1893773;18989916;233753
202105;1919379;19244508;235505
202106;1921335;19280520;238414
202107;1951407;19546843;244303
202108;1897038;19195115;235851
202109;1946497;19443350;239813
202110;1997943;19699513;250010
202111;2012907;19726818;252161
202112;2004182;19703812;251316
202201;1982606;19534921;247683
202202;1993117;19661611;246468
202203;2003687;19764004;246261
202204;2031608;20098119;249297
202205;2028091;20173603;246315
202206;2021582;20094348;247350
202207;2040963;20275194;251590
202208;1982370;19865765;242272
202209;2014558;20053519;242856
202210;2056214;20144325;252322
202211;2073106;20238561;255163
202212;2051912;20159317;251556
202301;2034648;20004924;247715
202302;2047610;20148628;247662
202303;2062849;20349825;247790
202304;2086934;20678484;250338
202305;2082719;20715284;247957
202306;2076781;20597244;249411
202307;2085455;20683889;252386
202308;2043157;20430272;247312
202309;2092857;20800895;248193
