fecha,Cas,Cval,esp
2020-01-01,38952,366562,3253853
2020-02-01,39432,366262,3246047
2020-03-01,42608,401827,3548312
2020-04-01,46611,439942,3831203
2020-05-01,47218,440517,3857776
2020-06-01,48965,456796,3862883
2020-07-01,45371,435014,3773034
2020-08-01,45778,440708,3802814
2020-09-01,45343,437364,3776485
2020-10-01,43926,433531,3826043
2020-11-01,43215,433671,3851312
2020-12-01,43194,437701,3888137
2021-01-01,44535,447795,3964353
2021-02-01,45706,456158,4008789
2021-03-01,44935,447261,3949640
2021-04-01,45568,447650,3910628
2021-05-01,44158,435265,3781250
2021-06-01,42691,426533,3614339
2021-07-01,41702,422968,3416498
2021-08-01,42432,429574,3333915
2021-09-01,42286,422901,3257802
2021-10-01,41861,420359,3257068
2021-11-01,38559,389726,3182687
2021-12-01,36285,371484,3105905
2022-01-01,35688,359296,3123078
2022-02-01,36415,360383,3111684
2022-03-01,36641,360491,3108763
2022-04-01,36773,357227,3022503
2022-05-01,36928,352711,2922991
2022-06-01,35832,348768,2880582
2022-07-01,35151,345831,2883812
2022-08-01,35993,352825,2924240
2022-09-01,37120,351575,2941919
2022-10-01,37640,354625,2914892
2022-11-01,35327,339295,2881380
2022-12-01,35276,338243,2837653
2023-01-01,36593,345019,2908397
2023-02-01,36545,343387,2911015
2023-03-01,36280,340298,2862260
2023-04-01,35933,335444,2788370
2023-05-01,35577,330918,2739110
2023-06-01,34738,325577,2688842
2023-07-01,34586,326201,2677874
2023-08-01,35017,329391,2702700
2023-09-01,35421,327765,2722468
