"Afiliados medios por Periodo, Regímenes, Sexo y comunidades autónomas"

"Periodo";"TODOS LOS REGÍMENES Total Sexo Total Nacional";"TODOS LOS REGÍMENES Total Sexo 2. Aragón"
"201201";16958267.14;514380.19
"201202";16897111.57;513317.24
"201203";16902530.45;512264.77
"201204";16919079.21;510280.68
"201205";16996510.36;517116.50
"201206";17027842.57;521561.00
"201207";17032738.45;523965.32
"201208";16895976.91;521430.95
"201209";16809803.15;515431.00
"201210";16736726.64;511879.59
"201211";16531048.14;504612.76
"201212";16442681.24;502575.82
"201301";16179438.05;496382.18
"201302";16150746.60;494440.50
"201303";16181274.84;493961.00
"201304";16232352.32;492050.00
"201305";16367012.59;499167.23
"201306";16393865.50;504173.95
"201307";16426755.78;504865.13
"201308";16327687.19;501406.24
"201309";16305445.38;499236.24
"201310";16360372.52;498081.48
"201311";16293543.20;494350.70
"201312";16357640.06;496550.78
"201401";16173609.52;491437.95
"201402";16212303.80;493379.60
"201403";16296288.24;494998.38
"201404";16430052.95;497082.25
"201405";16628373.24;508816.19
"201406";16684995.10;515057.62
"201407";16747102.65;515306.52
"201408";16649520.50;509126.45
"201409";16661702.95;506051.91
"201410";16690519.74;505391.26
"201411";16695750.80;503497.95
"201412";16775214.47;505768.53
"201501";16575312.25;501615.90
"201502";16672221.60;503949.80
"201503";16832800.55;506817.68
"201504";17008295.90;508276.35
"201505";17221310.40;520510.15
"201506";17256395.45;526353.00
"201507";17315187.57;528037.09
"201508";17180898.90;521911.86
"201509";17189814.91;520246.59
"201510";17221466.52;518805.43
"201511";17223086.48;517727.10
"201512";17308400.00;520260.63
"201601";17104357.26;516131.00
"201602";17167712.10;519003.19
"201603";17305798.05;520974.29
"201604";17463835.67;521357.52
"201605";17661839.59;531562.73
"201606";17760271.14;540311.86
"201607";17844991.95;543602.38
"201608";17699995.32;538413.64
"201609";17712020.73;533267.68
"201610";17813355.90;533905.70
"201611";17780523.90;532059.86
"201612";17849054.50;534378.35
"201701";17674174.52;530463.24
"201702";17748254.85;533454.85
"201703";17910006.65;536923.52
"201704";18122222.33;540807.50
"201705";18345414.23;554378.55
"201706";18433106.55;561699.27
"201707";18489329.00;562633.29
"201708";18309843.86;558053.14
"201709";18336161.48;553841.38
"201710";18430529.05;553375.81
"201711";18417756.24;552788.71
"201712";18460200.56;554260.56
"201801";18282030.82;550030.14
"201802";18363514.20;552775.00
"201803";18502087.60;555379.10
"201804";18678460.86;554974.29
"201805";18915667.82;567624.18
"201806";19006990.19;575919.71
"201807";19042809.68;578726.14
"201808";18839813.82;570682.77
"201809";18862712.80;566272.15
"201810";18993072.82;567973.18
"201811";18945624.19;565783.10
"201812";19024165.18;567181.94
"201901";18819300.09;562164.18
"201902";18888471.90;564800.00
"201903";19043576.33;568810.95
"201904";19230361.75;571940.35
"201905";19442113.45;582844.95
"201906";19517697.20;589695.55
"201907";19533210.74;589039.09
"201908";19320227.10;582659.48
"201909";19323451.48;577661.05
"201910";19429992.65;579096.17
"201911";19376878.45;577326.15
"201912";19408537.83;578477.22
"202001";19164493.67;572662.48
"202002";19250228.95;575584.55
"202003";19006759.59;567874.91
"202004";18458666.80;554476.05
"202005";18556128.85;564342.25
"202006";18624336.68;570372.23
"202007";18785554.30;574299.78
"202008";18792376.14;571728.95
"202009";18876389.23;566877.82
"202010";18990363.95;569680.76
"202011";19022001.57;567330.86
"202012";19048433.32;565565.00
"202101";18829480.16;560654.84
"202102";18850111.65;562038.75
"202103";18920901.87;563889.70
"202104";19055298.05;566401.80
"202105";19267221.00;577027.90
"202106";19500277.41;587820.64
"202107";19591727.95;589883.55
"202108";19473724.09;583683.45
"202109";19531111.36;578996.91
"202110";19690589.65;583269.25
"202111";19752357.81;582758.90
"202112";19824911.21;584860.74
"202201";19627161.25;581464.15
"202202";19694272.05;584153.60
"202203";19834503.70;585161.87
"202204";20019080.32;585178.00
"202205";20232723.14;591330.00
"202206";20348329.95;598594.45
"202207";20340964.24;597749.62
"202208";20151001.14;591714.23
"202209";20180287.41;589198.32
"202210";20283786.40;592325.30
"202211";20283630.90;591242.29
"202212";20296270.90;591887.70
"202301";20081223.90;587412.05
"202302";20170142.25;590613.40
"202303";20376552.30;594918.00
"202304";20614988.56;596999.61
"202305";20815399.14;609693.09
"202306";20869939.91;614641.77
"202307";20891884.62;614657.14
"202308";20706500.05;608271.36
"202309";20724795.52;604107.19
"202310";20817657.19;607289.95
"202311";20806073.76;606681.76
